date,worm_strain,compound,attempts
20200227,N2,Fructose,6
20200227,N2,Fructose,6
20200227,N2,Fructose,5
20200227,N2,Oxotremorine,0
20200227,N2,Oxotremorine,0
20200227,N2,Oxotremorine,0
20200227,N2,Oxotremorine,0
20200227,VC657,Water,0
20200227,VC657,Water,0
20200227,VC657,Water,2
20200227,VC657,Water,0
20200227,VC657,Fructose,6
20200227,VC657,Fructose,6
20200227,VC657,Fructose,6
20200227,VC657,Fructose,6
20200227,VC657,Oxotremorine,0
20200227,VC657,Oxotremorine,0
20200227,VC657,Oxotremorine,0
20200227,VC657,Oxotremorine,0
20200227,ZAM7,Water,0
20200227,ZAM7,Water,0
20200227,ZAM7,Water,0
20200227,ZAM7,Water,0
20200227,ZAM7,Fructose,6
20200227,ZAM7,Fructose,6
20200227,ZAM7,Fructose,6
20200227,ZAM7,Fructose,6
20200227,ZAM7,Oxotremorine,6
20200227,ZAM7,Oxotremorine,2
20200227,ZAM7,Oxotremorine,6
20200227,ZAM7,Oxotremorine,5
20200313,N2,Water,0
20200313,N2,Water,0
20200313,N2,Water,0
20200313,N2,Water,0
20200313,N2,Fructose,6
20200313,N2,Fructose,6
20200313,N2,Fructose,6
20200313,N2,Fructose,6
20200313,N2,Oxotremorine,0
20200313,N2,Oxotremorine,0
20200313,N2,Oxotremorine,0
20200313,N2,Oxotremorine,0
20200313,VC657,Water,0
20200313,VC657,Water,0
20200313,VC657,Water,0
20200313,VC657,Water,0
20200313,VC657,Fructose,6
20200313,VC657,Fructose,6
20200313,VC657,Fructose,6
20200313,VC657,Fructose,6
20200313,VC657,Fructose,6
20200313,VC657,Oxotremorine,0
20200313,VC657,Oxotremorine,0
20200313,VC657,Oxotremorine,0
20200313,VC657,Oxotremorine,0
20200313,ZAM7,Water,0
20200313,ZAM7,Water,0
20200313,ZAM7,Water,0
20200313,ZAM7,Water,0
20200313,ZAM7,Fructose,6
20200313,ZAM7,Fructose,6
20200313,ZAM7,Fructose,6
20200313,ZAM7,Fructose,6
20200313,ZAM7,Oxotremorine,2
20200313,ZAM7,Oxotremorine,3
20200313,ZAM7,Oxotremorine,3
20200313,ZAM7,Oxotremorine,5
